source,job_title,company_name,job_location,job_type,category,salary_min,salary_max,salary_avg,salary_range,salary_currency,experience_required,education_required,skills_required,job_description
BongThom,Financial Analyst,Hattha Bank,Phnom Penh,Internship,Banking & Finance,,,,,,0,bachelor,loan processing; excel; risk management; sql; khmer; bloomberg,"We are looking for a talented Financial Analyst to join our team at Hattha Bank. The candidate will be responsible for contributing to our banking & finance operations in Phnom Penh. This is an internship opportunity suitable for fresh graduates. Required skills include: loan processing, excel, risk management. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Events Coordinator,Park Hyatt Siem Reap,Preah Vihear,Full-time,Hospitality & Tourism,325,3566,1945.5,3241,USD,3,master,opera pms; teamwork,"We are looking for a talented Events Coordinator to join our team at Park Hyatt Siem Reap. The candidate will be responsible for contributing to our hospitality & tourism operations in Preah Vihear. Required skills include: opera pms, teamwork. Minimum 3 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Real Estate Analyst,Real Estate 7,Phnom Penh,Contract,Real Estate,,,,,,1,high school,real estate law; valuation; english; ms office; market research; negotiation; networking,"We are looking for a talented Real Estate Analyst to join our team at Real Estate 7. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: real estate law, valuation, english. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Curriculum Developer,Norton University,Phnom Penh,Full-time,Education & Training,419,4100,2259.5,3681,USD,6,bachelor,ms office; patience; classroom management; curriculum design; lesson planning,"We are looking for a talented Curriculum Developer to join our team at Norton University. The candidate will be responsible for contributing to our education & training operations in Phnom Penh. Required skills include: ms office, patience, classroom management. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Hotel Receptionist,Heritage Suites,Siem Reap,Full-time,Hospitality & Tourism,380,3480,1930,3100,USD,2,master,hotel management; khmer; chinese,"We are looking for a talented Hotel Receptionist to join our team at Heritage Suites. The candidate will be responsible for contributing to our hospitality & tourism operations in Siem Reap. Required skills include: hotel management, khmer, chinese. Minimum 2 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Production Planner,Anacle Garment,Phnom Penh,Full-time,Garment & Textile,156.34,629.27,392.805,472.93,USD,1,PhD,pattern making; attention to detail; khmer; teamwork; production planning; quality inspection,"We are looking for a talented Production Planner to join our team at Anacle Garment. The candidate will be responsible for contributing to our garment & textile operations in Phnom Penh. Required skills include: pattern making, attention to detail, khmer. Minimum 1 year(s) of relevant experience required. Education: Phd degree or equivalent preferred."
BongThom,Field Coordinator,Plan International,Takeo,Full-time,Ngo & Development,274,5156,2715,4882,USD,0,bachelor,khmer; donor relations,"We are looking for a talented Field Coordinator to join our team at Plan International. The candidate will be responsible for contributing to our ngo & development operations in Takeo. Required skills include: khmer, donor relations. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Database Administrator,Kalibrr Cambodia,Battambang,Contract,Technology & It,465,4626,2545.5,4161,USD,0,bachelor,node.js; java,"We are looking for a talented Database Administrator to join our team at Kalibrr Cambodia. The candidate will be responsible for contributing to our technology & it operations in Battambang. Required skills include: node.js, java. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
BongThom,Treasury Analyst,Aba Bank,Remote,Full-time,Banking & Finance,613,3864,2238.5,3251,USD,3,bachelor,risk management; bloomberg; khmer; sql; english; credit analysis; loan processing; customer service,"We are looking for a talented Treasury Analyst to join our team at ABA Bank. The candidate will be responsible for contributing to our banking & finance operations in Remote. Required skills include: risk management, bloomberg, khmer. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Full Stack Developer,Smartaxiom,Phnom Penh,Internship,Technology & It,433,4827,2630,4394,USD,0,bachelor,flutter; node.js,"We are looking for a talented Full Stack Developer to join our team at SmartAxiom. The candidate will be responsible for contributing to our technology & it operations in Phnom Penh. This is an internship opportunity suitable for fresh graduates. Required skills include: flutter, node.js. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
Khmer24,Community Facilitator,Unicef Cambodia,Kandal,Contract,Ngo & Development,414.39,4640,2527.195,4225.61,USD,1,bachelor,advocacy; project management; m&e; donor relations; english,"We are looking for a talented Community Facilitator to join our team at UNICEF Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Kandal. Required skills include: advocacy, project management, m&e. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Real Estate Consultant,Knight Frank Cambodia,Phnom Penh,Full-time,Real Estate,224.88,3520.98,1872.93,3296.1,USD,0,high school,communication; negotiation,"We are looking for a talented Real Estate Consultant to join our team at Knight Frank Cambodia. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: communication, negotiation. No experience required — training provided. Education: High School degree or equivalent preferred."
BongThom,Crm Specialist,Metfone,Phnom Penh,Full-time,Customer Service,166,1119,642.5,953,USD,2,bachelor,customer service; data entry; khmer; english; empathy,"We are looking for a talented CRM Specialist to join our team at Metfone. The candidate will be responsible for contributing to our customer service operations in Phnom Penh. Required skills include: customer service, data entry, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Cost Accountant,Grant Thornton,Battambang,Internship,Accounting & Audit,,,,,,0,high school,excel; sage; attention to detail; financial reporting; khmer; accounting standards; quickbooks; erp,"We are looking for a talented Cost Accountant to join our team at Grant Thornton. The candidate will be responsible for contributing to our accounting & audit operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: excel, sage, attention to detail. No experience required — training provided. Education: High School degree or equivalent preferred."
CamHR,Sales Executive,Chip Mong Retail,Siem Reap,Full-time,Retail & Sales,237,3260,1748.5,3023,USD,6,bachelor,target driven; khmer; customer service; sales,"We are looking for a talented Sales Executive to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Siem Reap. Required skills include: target driven, khmer, customer service. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,E-Commerce Specialist,Chip Mong Retail,Phnom Penh,Full-time,Retail & Sales,,,,,,6,bachelor,ms office; communication; sales; khmer,"We are looking for a talented E-commerce Specialist to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: ms office, communication, sales. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Senior Accountant,Deloitte Cambodia,Phnom Penh,Contract,Accounting & Audit,315,3595,1955,3280,USD,0,master,tax law; quickbooks; sage; financial reporting; accounting standards,"We are looking for a talented Senior Accountant to join our team at Deloitte Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Phnom Penh. Required skills include: tax law, quickbooks, sage. No experience required — training provided. Education: Master degree or equivalent preferred."
Khmer24,Risk Officer,Canadia Bank,Sihanoukville,Full-time,Banking & Finance,482.68,3561.46,2022.07,3078.78,USD,2,master,sql; customer service,"We are looking for a talented Risk Officer to join our team at Canadia Bank. The candidate will be responsible for contributing to our banking & finance operations in Sihanoukville. Required skills include: sql, customer service. Minimum 2 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
CamHR,English Teacher,Build Bright University,Phnom Penh,Freelance,Education & Training,293,3550,1921.5,3257,USD,0,PhD,lesson planning; classroom management; reporting; e-learning; khmer; patience,"We are looking for a talented English Teacher to join our team at BUILD Bright University. The candidate will be responsible for contributing to our education & training operations in Phnom Penh. Required skills include: lesson planning, classroom management, reporting. No experience required — training provided. Education: Phd degree or equivalent preferred."
BongThom,Ai/Ml Engineer,Anz Royal,Kampot,Full-time,Technology & It,583,6826,3704.5,6243,USD,4,bachelor,node.js; aws; linux,"We are looking for a talented AI/ML Engineer to join our team at ANZ Royal. The candidate will be responsible for contributing to our technology & it operations in Kampot. Required skills include: node.js, aws, linux. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Autocad Draftsman,Worldbridge Group,Phnom Penh,Full-time,Construction & Engineering,699,6315,3507,5616,USD,5,bachelor,civil 3d; concrete design,"We are looking for a talented AutoCAD Draftsman to join our team at WorldBridge Group. The candidate will be responsible for contributing to our construction & engineering operations in Phnom Penh. Required skills include: civil 3d, concrete design. Minimum 5 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Visual Merchandiser,Aeon Mall,Phnom Penh,Full-time,Retail & Sales,224,2120,1172,1896,USD,1,bachelor,product knowledge; sales; pos system; negotiation; target driven; communication; ms office,"We are looking for a talented Visual Merchandiser to join our team at AEON Mall. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: product knowledge, sales, pos system. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
